사고다발지역시도시군구,위도,경도,사고다발지역폴리곤정보
서울특별시 영등포구2,37.519854,126.904689,"POLYGON ((126.90648585 37.51985399, 126.90645133 37.51957599, 126.90634909 37.51930867, 126.90618307 37.51906231, 126.90595963 37.51884637, 126.90568738 37.51866915, 126.90537676 37.51853746, 126.90503973 37.51845637, 126.90468922 37.51842899, 126.90433872 37.51845637, 126.90400168 37.51853746, 126.90369107 37.51866915, 126.90341881 37.51884637, 126.90319538 37.51906231, 126.90302935 37.51930867, 126.90292711 37.51957599, 126.90289259 37.51985399, 126.90292711 37.52013199, 126.90302935 37.5203993, 126.90319538 37.52064566, 126.90341881 37.5208616, 126.90369107 37.52103881, 126.90400168 37.52117049, 126.90433872 37.52125158, 126.90468922 37.52127896, 126.90503973 37.52125158, 126.90537676 37.52117049, 126.90568738 37.52103881, 126.90595963 37.5208616, 126.90618307 37.52064566, 126.90634909 37.5203993, 126.90645133 37.52013199, 126.90648585 37.51985399))"
서울특별시 영등포구3,37.492522,126.896044,"POLYGON ((126.89784023 37.49252165, 126.89780571 37.49224354, 126.89770347 37.49197613, 126.89753744 37.49172967, 126.89731401 37.49151365, 126.89704175 37.49133637, 126.89673114 37.49120464, 126.89639411 37.49112352, 126.8960436 37.49109613, 126.89569309 37.49112352, 126.89535606 37.49120464, 126.89504545 37.49133637, 126.89477319 37.49151365, 126.89454976 37.49172967, 126.89438373 37.49197613, 126.89428149 37.49224354, 126.89424697 37.49252165, 126.89428149 37.49279975, 126.89438373 37.49306716, 126.89454976 37.49331361, 126.89477319 37.49352962, 126.89504545 37.4937069, 126.89535606 37.49383863, 126.89569309 37.49391975, 126.8960436 37.49394714, 126.89639411 37.49391975, 126.89673114 37.49383863, 126.89704175 37.4937069, 126.89731401 37.49352962, 126.89753744 37.49331361, 126.89770347 37.49306716, 126.89780571 37.49279975, 126.89784023 37.49252165))"
서울특별시 영등포구4,37.493122,126.90133,"POLYGON ((126.90312613 37.49312213, 126.90309161 37.49284403, 126.90298937 37.49257661, 126.90282334 37.49233016, 126.90259991 37.49211415, 126.90232765 37.49193686, 126.90201704 37.49180513, 126.90168 37.49172401, 126.9013295 37.49169662, 126.90097899 37.49172401, 126.90064196 37.49180513, 126.90033134 37.49193686, 126.90005909 37.49211415, 126.89983565 37.49233016, 126.89966963 37.49257661, 126.89956739 37.49284403, 126.89953287 37.49312213, 126.89956739 37.49340023, 126.89966963 37.49366764, 126.89983565 37.49391409, 126.90005909 37.4941301, 126.90033134 37.49430737, 126.90064196 37.4944391, 126.90097899 37.49452022, 126.9013295 37.49454761, 126.90168 37.49452022, 126.90201704 37.4944391, 126.90232765 37.49430737, 126.90259991 37.4941301, 126.90282334 37.49391409, 126.90298937 37.49366764, 126.90309161 37.49340023, 126.90312613 37.49312213))"
서울특별시 영등포구5,37.506938,126.910979,"POLYGON ((126.91277599 37.50693826, 126.91274147 37.50666021, 126.91263923 37.50639285, 126.9124732 37.50614644, 126.91224977 37.50593046, 126.91197751 37.50575321, 126.9116669 37.50562151, 126.91132986 37.5055404, 126.91097936 37.50551302, 126.91062885 37.5055404, 126.91029182 37.50562151, 126.9099812 37.50575321, 126.90970895 37.50593046, 126.90948551 37.50614644, 126.90931949 37.50639285, 126.90921725 37.50666021, 126.90918273 37.50693826, 126.90921725 37.50721631, 126.90931949 37.50748367, 126.90948551 37.50773007, 126.90970895 37.50794604, 126.9099812 37.50812329, 126.91029182 37.50825499, 126.91062885 37.50833609, 126.91097936 37.50836348, 126.91132986 37.50833609, 126.9116669 37.50825499, 126.91197751 37.50812329, 126.91224977 37.50794604, 126.9124732 37.50773007, 126.91263923 37.50748367, 126.91274147 37.50721631, 126.91277599 37.50693826))"
서울특별시 영등포구6,37.525549,126.906488,"POLYGON ((126.90828436 37.52554925, 126.90824984 37.52527127, 126.9081476 37.52500397, 126.90798157 37.52475763, 126.90775814 37.5245417, 126.90748588 37.5243645, 126.90717527 37.52423282, 126.90683823 37.52415174, 126.90648773 37.52412436, 126.90613722 37.52415174, 126.90580019 37.52423282, 126.90548957 37.5243645, 126.90521732 37.5245417, 126.90499388 37.52475763, 126.90482786 37.52500397, 126.90472562 37.52527127, 126.9046911 37.52554925, 126.90472562 37.52582723, 126.90482786 37.52609452, 126.90499388 37.52634086, 126.90521732 37.52655678, 126.90548957 37.52673398, 126.90580019 37.52686565, 126.90613722 37.52694673, 126.90648773 37.52697411, 126.90683823 37.52694673, 126.90717527 37.52686565, 126.90748588 37.52673398, 126.90775814 37.52655678, 126.90798157 37.52634086, 126.9081476 37.52609452, 126.90824984 37.52582723, 126.90828436 37.52554925))"
서울특별시 영등포구7,37.516178,126.881872,"POLYGON ((126.88366866 37.51617757, 126.88363413 37.51589955, 126.88353189 37.51563222, 126.88336587 37.51538585, 126.88314243 37.5151699, 126.88287018 37.51499267, 126.88255957 37.51486098, 126.88222253 37.51477988, 126.88187202 37.5147525, 126.88152152 37.51477988, 126.88118448 37.51486098, 126.88087387 37.51499267, 126.88060162 37.5151699, 126.88037818 37.51538585, 126.88021215 37.51563222, 126.88010992 37.51589955, 126.88007539 37.51617757, 126.88010992 37.51645558, 126.88021215 37.51672291, 126.88037818 37.51696928, 126.88060162 37.51718523, 126.88087387 37.51736245, 126.88118448 37.51749414, 126.88152152 37.51757523, 126.88187202 37.51760261, 126.88222253 37.51757523, 126.88255957 37.51749414, 126.88287018 37.51736245, 126.88314243 37.51718523, 126.88336587 37.51696928, 126.88353189 37.51672291, 126.88363413 37.51645558, 126.88366866 37.51617757))"
서울특별시 강북구2,37.629999,127.024732,"POLYGON ((127.02652825 37.62999885, 127.02649373 37.62972126, 127.02639149 37.62945434, 127.02622547 37.62920834, 127.02600203 37.62899272, 127.02572978 37.62881577, 127.02541916 37.62868428, 127.02508213 37.6286033, 127.02473162 37.62857596, 127.02438112 37.6286033, 127.02404408 37.62868428, 127.02373347 37.62881577, 127.02346121 37.62899272, 127.02323778 37.62920834, 127.02307175 37.62945434, 127.02296952 37.62972126, 127.02293499 37.62999885, 127.02296952 37.63027644, 127.02307175 37.63054336, 127.02323778 37.63078936, 127.02346121 37.63100497, 127.02373347 37.63118192, 127.02404408 37.63131341, 127.02438112 37.63139438, 127.02473162 37.63142172, 127.02508213 37.63139438, 127.02541916 37.63131341, 127.02572978 37.63118192, 127.02600203 37.63100497, 127.02622547 37.63078936, 127.02639149 37.63054336, 127.02649373 37.63027644, 127.02652825 37.62999885))"
서울특별시 강북구3,37.63759,127.02486,"POLYGON ((127.02665624 37.63759024, 127.02662172 37.63731267, 127.02651948 37.63704578, 127.02635346 37.6367998, 127.02613002 37.63658421, 127.02585777 37.63640727, 127.02554715 37.63627579, 127.02521012 37.63619483, 127.02485961 37.63616749, 127.02450911 37.63619483, 127.02417207 37.63627579, 127.02386146 37.63640727, 127.0235892 37.63658421, 127.02336577 37.6367998, 127.02319974 37.63704578, 127.02309751 37.63731267, 127.02306298 37.63759024, 127.02309751 37.6378678, 127.02319974 37.63813469, 127.02336577 37.63838066, 127.0235892 37.63859625, 127.02386146 37.63877318, 127.02417207 37.63890466, 127.02450911 37.63898562, 127.02485961 37.63901295, 127.02521012 37.63898562, 127.02554715 37.63890466, 127.02585777 37.63877318, 127.02613002 37.63859625, 127.02635346 37.63838066, 127.02651948 37.63813469, 127.02662172 37.6378678, 127.02665624 37.63759024))"
서울특별시 강북구4,37.628618,127.039588,"POLYGON ((127.0413847 37.62861778, 127.04135017 37.62834018, 127.04124794 37.62807326, 127.04108191 37.62782725, 127.04085848 37.62761163, 127.04058622 37.62743467, 127.04027561 37.62730318, 127.03993857 37.6272222, 127.03958807 37.62719486, 127.03923756 37.6272222, 127.03890052 37.62730318, 127.03858991 37.62743467, 127.03831766 37.62761163, 127.03809422 37.62782725, 127.0379282 37.62807326, 127.03782596 37.62834018, 127.03779143 37.62861778, 127.03782596 37.62889537, 127.0379282 37.6291623, 127.03809422 37.6294083, 127.03831766 37.62962392, 127.03858991 37.62980087, 127.03890052 37.62993236, 127.03923756 37.63001333, 127.03958807 37.63004067, 127.03993857 37.63001333, 127.04027561 37.62993236, 127.04058622 37.62980087, 127.04085848 37.62962392, 127.04108191 37.6294083, 127.04124794 37.6291623, 127.04135017 37.62889537, 127.0413847 37.62861778))"
서울특별시 강북구5,37.634907,127.026415,"POLYGON ((127.02821108 37.63490656, 127.02817655 37.63462899, 127.02807432 37.63436208, 127.02790829 37.6341161, 127.02768486 37.63390049, 127.0274126 37.63372355, 127.02710199 37.63359207, 127.02676495 37.6335111, 127.02641445 37.63348376, 127.02606394 37.6335111, 127.0257269 37.63359207, 127.02541629 37.63372355, 127.02514404 37.63390049, 127.0249206 37.6341161, 127.02475458 37.63436208, 127.02465234 37.63462899, 127.02461781 37.63490656, 127.02465234 37.63518413, 127.02475458 37.63545103, 127.0249206 37.63569701, 127.02514404 37.63591261, 127.02541629 37.63608955, 127.0257269 37.63622103, 127.02606394 37.63630199, 127.02641445 37.63632933, 127.02676495 37.63630199, 127.02710199 37.63622103, 127.0274126 37.63608955, 127.02768486 37.63591261, 127.02790829 37.63569701, 127.02807432 37.63545103, 127.02817655 37.63518413, 127.02821108 37.63490656))"
